# deu_itself_sound_type,deu_itself_manner,deu_itself_place,deu_itself_voice,deu_itself_secondary,deu_itself_length,deu_itself_vertical,deu_itself_horizontal,deu_itself_rounding,deu_itself_nasalization,deu_prev_sound_type,deu_prev_manner,deu_prev_place,deu_prev_voice,deu_prev_secondary,deu_prev_length,deu_prev_vertical,deu_prev_horizontal,deu_prev_rounding,deu_prev_nasalization,deu_prevNonDot_sound_type,deu_prevNonDot_manner,deu_prevNonDot_place,deu_prevNonDot_voice,deu_prevNonDot_secondary,deu_prevNonDot_length,deu_prevNonDot_vertical,deu_prevNonDot_horizontal,deu_prevNonDot_rounding,deu_prevNonDot_nasalization,deu_prevCons_sound_type,deu_prevCons_manner,deu_prevCons_place,deu_prevCons_voice,deu_prevCons_secondary,deu_prevCons_length,deu_prevCons_vertical,deu_prevCons_horizontal,deu_prevCons_rounding,deu_prevCons_nasalization,deu_prevVowel_sound_type,deu_prevVowel_manner,deu_prevVowel_place,deu_prevVowel_voice,deu_prevVowel_secondary,deu_prevVowel_length,deu_prevVowel_vertical,deu_prevVowel_horizontal,deu_prevVowel_rounding,deu_prevVowel_nasalization,deu_prevOrSelfNonDot_sound_type,deu_prevOrSelfNonDot_manner,deu_prevOrSelfNonDot_place,deu_prevOrSelfNonDot_voice,deu_prevOrSelfNonDot_secondary,deu_prevOrSelfNonDot_length,deu_prevOrSelfNonDot_vertical,deu_prevOrSelfNonDot_horizontal,deu_prevOrSelfNonDot_rounding,deu_prevOrSelfNonDot_nasalization,deu_prevOrSelfCons_sound_type,deu_prevOrSelfCons_manner,deu_prevOrSelfCons_place,deu_prevOrSelfCons_voice,deu_prevOrSelfCons_secondary,deu_prevOrSelfCons_length,deu_prevOrSelfCons_vertical,deu_prevOrSelfCons_horizontal,deu_prevOrSelfCons_rounding,deu_prevOrSelfCons_nasalization,deu_prevOrSelfVowel_sound_type,deu_prevOrSelfVowel_manner,deu_prevOrSelfVowel_place,deu_prevOrSelfVowel_voice,deu_prevOrSelfVowel_secondary,deu_prevOrSelfVowel_length,deu_prevOrSelfVowel_vertical,deu_prevOrSelfVowel_horizontal,deu_prevOrSelfVowel_rounding,deu_prevOrSelfVowel_nasalization,swe_itself_sound_type,swe_itself_manner,swe_itself_place,swe_itself_voice,swe_itself_secondary,swe_itself_length,swe_itself_vertical,swe_itself_horizontal,swe_itself_rounding,swe_itself_nasalization,swe_prev_sound_type,swe_prev_manner,swe_prev_place,swe_prev_voice,swe_prev_secondary,swe_prev_length,swe_prev_vertical,swe_prev_horizontal,swe_prev_rounding,swe_prev_nasalization,swe_prevNonDot_sound_type,swe_prevNonDot_manner,swe_prevNonDot_place,swe_prevNonDot_voice,swe_prevNonDot_secondary,swe_prevNonDot_length,swe_prevNonDot_vertical,swe_prevNonDot_horizontal,swe_prevNonDot_rounding,swe_prevNonDot_nasalization,swe_prevCons_sound_type,swe_prevCons_manner,swe_prevCons_place,swe_prevCons_voice,swe_prevCons_secondary,swe_prevCons_length,swe_prevCons_vertical,swe_prevCons_horizontal,swe_prevCons_rounding,swe_prevCons_nasalization,swe_prevVowel_sound_type,swe_prevVowel_manner,swe_prevVowel_place,swe_prevVowel_voice,swe_prevVowel_secondary,swe_prevVowel_length,swe_prevVowel_vertical,swe_prevVowel_horizontal,swe_prevVowel_rounding,swe_prevVowel_nasalization,swe_prevOrSelfNonDot_sound_type,swe_prevOrSelfNonDot_manner,swe_prevOrSelfNonDot_place,swe_prevOrSelfNonDot_voice,swe_prevOrSelfNonDot_secondary,swe_prevOrSelfNonDot_length,swe_prevOrSelfNonDot_vertical,swe_prevOrSelfNonDot_horizontal,swe_prevOrSelfNonDot_rounding,swe_prevOrSelfNonDot_nasalization,swe_prevOrSelfCons_sound_type,swe_prevOrSelfCons_manner,swe_prevOrSelfCons_place,swe_prevOrSelfCons_voice,swe_prevOrSelfCons_secondary,swe_prevOrSelfCons_length,swe_prevOrSelfCons_vertical,swe_prevOrSelfCons_horizontal,swe_prevOrSelfCons_rounding,swe_prevOrSelfCons_nasalization,swe_prevOrSelfVowel_sound_type,swe_prevOrSelfVowel_manner,swe_prevOrSelfVowel_place,swe_prevOrSelfVowel_voice,swe_prevOrSelfVowel_secondary,swe_prevOrSelfVowel_length,swe_prevOrSelfVowel_vertical,swe_prevOrSelfVowel_horizontal,swe_prevOrSelfVowel_rounding,swe_prevOrSelfVowel_nasalization
3,5,8,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,9,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,1,5,1,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,5,1,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,1,1,5,1,0,4,0,0,0,0,1,3,1,2,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,1,2,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,1,3,1,2,0
3,9,4,2,0,1,0,0,0,0,4,0,0,0,0,1,1,5,1,0,4,0,0,0,0,1,1,5,1,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,1,1,5,1,0,3,9,4,2,0,1,0,0,0,0,3,9,4,2,0,1,0,0,0,0,4,0,0,0,0,1,1,5,1,0,3,9,4,2,0,3,0,0,0,0,4,0,0,0,0,1,3,1,2,0,4,0,0,0,0,1,3,1,2,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,1,3,1,2,0,3,9,4,2,0,3,0,0,0,0,3,9,4,2,0,3,0,0,0,0,4,0,0,0,0,1,3,1,2,0
4,0,0,0,0,1,4,3,1,0,3,9,4,2,0,1,0,0,0,0,3,9,4,2,0,1,0,0,0,0,3,9,4,2,0,1,0,0,0,0,4,0,0,0,0,1,1,5,1,0,4,0,0,0,0,1,4,3,1,0,3,9,4,2,0,1,0,0,0,0,4,0,0,0,0,1,4,3,1,0,1,0,0,0,0,0,0,0,0,0,3,9,4,2,0,3,0,0,0,0,3,9,4,2,0,3,0,0,0,0,3,9,4,2,0,3,0,0,0,0,4,0,0,0,0,1,3,1,2,0,3,9,4,2,0,3,0,0,0,0,3,9,4,2,0,3,0,0,0,0,4,0,0,0,0,1,3,1,2,0
3,5,8,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,1,0,1,0,0,0,0,3,5,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,9,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,7,1,0,1,0,0,0,0,3,5,7,1,0,1,0,0,0,0,3,5,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,1,0,1,0,0,0,0,3,5,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,3,1,2,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,1,2,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,1,3,1,2,0,4,0,0,0,0,1,3,5,1,0,1,0,0,0,0,0,0,0,0,0,3,5,7,1,0,1,0,0,0,0,3,5,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,5,1,0,3,5,7,1,0,1,0,0,0,0,4,0,0,0,0,1,3,5,1,0
3,1,4,1,0,1,0,0,0,0,4,0,0,0,0,1,3,1,2,0,4,0,0,0,0,1,3,1,2,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,1,3,1,2,0,3,1,4,1,0,1,0,0,0,0,3,1,4,1,0,1,0,0,0,0,4,0,0,0,0,1,3,1,2,0,3,1,12,1,0,3,0,0,0,0,4,0,0,0,0,1,3,5,1,0,4,0,0,0,0,1,3,5,1,0,3,5,7,1,0,1,0,0,0,0,4,0,0,0,0,1,3,5,1,0,3,1,12,1,0,3,0,0,0,0,3,1,12,1,0,3,0,0,0,0,4,0,0,0,0,1,3,5,1,0
3,5,8,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,9,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,3,1,5,1,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,5,1,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,3,1,5,1,0,4,0,0,0,0,3,1,1,1,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,1,1,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,3,1,1,1,0
3,1,12,1,0,1,0,0,0,0,4,0,0,0,0,3,1,5,1,0,4,0,0,0,0,3,1,5,1,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,3,1,5,1,0,3,1,12,1,0,1,0,0,0,0,3,1,12,1,0,1,0,0,0,0,4,0,0,0,0,3,1,5,1,0,3,5,11,2,0,1,0,0,0,0,4,0,0,0,0,3,1,1,1,0,4,0,0,0,0,3,1,1,1,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,3,1,1,1,0,3,5,11,2,0,1,0,0,0,0,3,5,11,2,0,1,0,0,0,0,4,0,0,0,0,3,1,1,1,0
3,5,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,1,0,0,0,0,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,1,0,0,0,0,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,1,5,1,0,3,5,1,1,0,1,0,0,0,0,3,5,1,1,0,1,0,0,0,0,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,5,1,0,3,5,1,1,0,1,0,0,0,0,4,0,0,0,0,1,1,5,1,0,1,0,0,0,0,0,0,0,0,0,3,5,1,1,0,1,0,0,0,0,3,5,1,1,0,1,0,0,0,0,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,1,0,0,0,0,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,5,1,6,2,2,0,4,0,0,0,0,1,1,5,1,0,4,0,0,0,0,1,1,5,1,0,3,5,1,1,0,1,0,0,0,0,4,0,0,0,0,1,1,5,1,0,4,0,0,0,5,1,6,2,2,0,3,5,1,1,0,1,0,0,0,0,4,0,0,0,5,1,6,2,2,0,4,0,0,0,0,3,7,3,2,0,1,0,0,0,0,0,0,0,0,0,3,5,1,1,0,1,0,0,0,0,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,3,2,0,3,5,1,1,0,1,0,0,0,0,4,0,0,0,0,3,7,3,2,0
3,5,9,1,0,1,0,0,0,0,4,0,0,0,5,1,6,2,2,0,4,0,0,0,5,1,6,2,2,0,3,5,1,1,0,1,0,0,0,0,4,0,0,0,5,1,6,2,2,0,3,5,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,4,0,0,0,5,1,6,2,2,0,3,5,9,1,0,1,0,0,0,0,4,0,0,0,0,3,7,3,2,0,4,0,0,0,0,3,7,3,2,0,3,5,1,1,0,1,0,0,0,0,4,0,0,0,0,3,7,3,2,0,3,5,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,4,0,0,0,0,3,7,3,2,0
3,5,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,1,0,0,0,0,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,1,0,0,0,0,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,1,5,1,0,3,5,1,1,0,1,0,0,0,0,3,5,1,1,0,1,0,0,0,0,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,5,1,0,3,5,1,1,0,1,0,0,0,0,4,0,0,0,0,1,1,5,1,0,4,0,0,0,0,1,3,5,1,0,3,5,1,1,0,1,0,0,0,0,3,5,1,1,0,1,0,0,0,0,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,5,1,0,3,5,1,1,0,1,0,0,0,0,4,0,0,0,0,1,3,5,1,0
4,0,0,0,5,1,6,4,1,0,4,0,0,0,0,1,1,5,1,0,4,0,0,0,0,1,1,5,1,0,3,5,1,1,0,1,0,0,0,0,4,0,0,0,0,1,1,5,1,0,4,0,0,0,5,1,6,4,1,0,3,5,1,1,0,1,0,0,0,0,4,0,0,0,5,1,6,4,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,5,1,0,4,0,0,0,0,1,3,5,1,0,3,5,1,1,0,1,0,0,0,0,4,0,0,0,0,1,3,5,1,0,4,0,0,0,0,1,3,5,1,0,3,5,1,1,0,1,0,0,0,0,4,0,0,0,0,1,3,5,1,0
3,9,12,2,0,1,0,0,0,0,4,0,0,0,5,1,6,4,1,0,4,0,0,0,5,1,6,4,1,0,3,5,1,1,0,1,0,0,0,0,4,0,0,0,5,1,6,4,1,0,3,9,12,2,0,1,0,0,0,0,3,9,12,2,0,1,0,0,0,0,4,0,0,0,5,1,6,4,1,0,3,9,12,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,5,1,0,3,5,1,1,0,1,0,0,0,0,4,0,0,0,0,1,3,5,1,0,3,9,12,2,0,3,0,0,0,0,3,9,12,2,0,3,0,0,0,0,4,0,0,0,0,1,3,5,1,0
3,1,9,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,12,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,12,2,0,1,0,0,0,0,3,1,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,6,4,1,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,6,4,1,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,1,6,4,1,0,4,0,0,0,0,3,7,1,2,0,3,1,12,2,0,1,0,0,0,0,3,1,12,2,0,1,0,0,0,0,3,1,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,1,2,0,3,1,12,2,0,1,0,0,0,0,4,0,0,0,0,3,7,1,2,0
3,5,8,1,0,1,0,0,0,0,4,0,0,0,0,1,6,4,1,0,4,0,0,0,0,1,6,4,1,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,1,6,4,1,0,3,5,8,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,4,0,0,0,0,1,6,4,1,0,3,1,6,2,0,1,0,0,0,0,4,0,0,0,0,3,7,1,2,0,4,0,0,0,0,3,7,1,2,0,3,1,12,2,0,1,0,0,0,0,4,0,0,0,0,3,7,1,2,0,3,1,6,2,0,1,0,0,0,0,3,1,6,2,0,1,0,0,0,0,4,0,0,0,0,3,7,1,2,0
3,5,8,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,9,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,3,5,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,3,7,1,2,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,1,2,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,3,7,1,2,0,4,0,0,0,0,3,7,1,2,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,1,2,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,3,7,1,2,0
3,7,9,2,0,1,0,0,0,0,4,0,0,0,0,3,7,1,2,0,4,0,0,0,0,3,7,1,2,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,3,7,1,2,0,3,7,9,2,0,1,0,0,0,0,3,7,9,2,0,1,0,0,0,0,4,0,0,0,0,3,7,1,2,0,3,7,9,2,0,1,0,0,0,0,4,0,0,0,0,3,7,1,2,0,4,0,0,0,0,3,7,1,2,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,3,7,1,2,0,3,7,9,2,0,1,0,0,0,0,3,7,9,2,0,1,0,0,0,0,4,0,0,0,0,3,7,1,2,0
3,5,11,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,2,0,1,0,0,0,0,3,5,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,2,0,1,0,0,0,0,3,5,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,3,7,5,1,0,3,5,11,2,0,1,0,0,0,0,3,5,11,2,0,1,0,0,0,0,3,5,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,5,1,0,3,5,11,2,0,1,0,0,0,0,4,0,0,0,0,3,7,5,1,0,4,0,0,0,0,1,1,5,1,0,3,5,11,2,0,1,0,0,0,0,3,5,11,2,0,1,0,0,0,0,3,5,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,5,1,0,3,5,11,2,0,1,0,0,0,0,4,0,0,0,0,1,1,5,1,0
3,1,4,2,0,1,0,0,0,0,4,0,0,0,0,3,7,5,1,0,4,0,0,0,0,3,7,5,1,0,3,5,11,2,0,1,0,0,0,0,4,0,0,0,0,3,7,5,1,0,3,1,4,2,0,1,0,0,0,0,3,1,4,2,0,1,0,0,0,0,4,0,0,0,0,3,7,5,1,0,3,1,4,2,0,3,0,0,0,0,4,0,0,0,0,1,1,5,1,0,4,0,0,0,0,1,1,5,1,0,3,5,11,2,0,1,0,0,0,0,4,0,0,0,0,1,1,5,1,0,3,1,4,2,0,3,0,0,0,0,3,1,4,2,0,3,0,0,0,0,4,0,0,0,0,1,1,5,1,0
4,0,0,0,0,1,4,3,1,0,3,1,4,2,0,1,0,0,0,0,3,1,4,2,0,1,0,0,0,0,3,1,4,2,0,1,0,0,0,0,4,0,0,0,0,3,7,5,1,0,4,0,0,0,0,1,4,3,1,0,3,1,4,2,0,1,0,0,0,0,4,0,0,0,0,1,4,3,1,0,4,0,0,0,0,1,1,5,1,0,3,1,4,2,0,3,0,0,0,0,3,1,4,2,0,3,0,0,0,0,3,1,4,2,0,3,0,0,0,0,4,0,0,0,0,1,1,5,1,0,4,0,0,0,0,1,1,5,1,0,3,1,4,2,0,3,0,0,0,0,4,0,0,0,0,1,1,5,1,0
3,1,12,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,12,2,0,1,0,0,0,0,3,1,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,3,5,1,0,3,1,12,2,0,1,0,0,0,0,3,1,12,2,0,1,0,0,0,0,3,1,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,5,1,0,3,1,12,2,0,1,0,0,0,0,4,0,0,0,0,1,3,5,1,0,4,0,0,0,0,1,3,5,1,0,3,5,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,3,5,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,5,1,0,3,5,9,1,0,1,0,0,0,0,4,0,0,0,0,1,3,5,1,0
3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,1,3,5,1,0,4,0,0,0,0,1,3,5,1,0,3,1,12,2,0,1,0,0,0,0,4,0,0,0,0,1,3,5,1,0,3,1,9,1,0,1,0,0,0,0,3,1,9,1,0,1,0,0,0,0,4,0,0,0,0,1,3,5,1,0,3,9,4,2,0,3,0,0,0,0,4,0,0,0,0,1,3,5,1,0,4,0,0,0,0,1,3,5,1,0,3,5,9,1,0,1,0,0,0,0,4,0,0,0,0,1,3,5,1,0,3,9,4,2,0,3,0,0,0,0,3,9,4,2,0,3,0,0,0,0,4,0,0,0,0,1,3,5,1,0
3,5,11,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,1,0,1,0,0,0,0,3,5,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,1,0,1,0,0,0,0,3,5,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
